EMP_ID,Location,Possible_nearest_station,Distance_to_cover(kms),distance_to_station(kms),station_to_workplace(kms),total_time,commute_group,Deutschlandticket_Metric
JNJMED_41,Hamburg-Eimsbüttel,Eimsbüttel / Osterstraße,13.43,0.91,12.86,57.2,Good,Very High
JNJMED_42,Hamburg-Eimsbüttel,Lokstedt,10.06,1.66,10.03,45.5,Good,Very High
JNJMED_43,Hamburg-Eimsbüttel,Altona,14.98,0.76,15.73,59.2,Good,Very High
JNJMED_44,Hamburg-Eimsbüttel,Lokstedt,10.93,0.91,10.03,52.4,Good,Very High
JNJMED_45,Hamburg-Eimsbüttel,Eimsbüttel / Osterstraße,14.09,1.64,12.86,50.3,Good,Very High
JNJMED_46,Hamburg-Eimsbüttel,Eimsbüttel / Osterstraße,12.66,1.85,12.86,50.7,Good,Very High
JNJMED_47,Hamburg-Eimsbüttel,Altona,14.69,1.05,15.73,54.1,Good,Very High
JNJMED_48,Hamburg-Eimsbüttel,Bahrenfeld,14.61,0.22,14.51,46.3,Good,Very High
JNJMED_49,Hamburg-Wandsbek,Wandsbek-Gartenstadt,13.95,1.35,12.61,49.3,Good,Very High
JNJMED_50,Hamburg-Wandsbek,Wandsbek Markt,14.09,0.54,14.56,52.8,Good,Very High
JNJMED_51,Hamburg-Wandsbek,Burgstraße,16.9,0.9,16.11,62.6,Time consuming,High
JNJMED_52,Hamburg-Wandsbek,Hasselbrook,14.39,0.28,14.5,47.5,Good,Very High
JNJMED_53,Hamburg-Wandsbek,Wandsbek Markt,14.98,1.33,14.56,52.7,Good,Very High
JNJMED_54,Hamburg-Wandsbek,Wandsbek-Gartenstadt,10.89,2.32,12.61,51.2,Good,Very High
JNJMED_55,Hamburg-Wandsbek,Wandsbek Markt,13.72,1.16,14.56,52.3,Good,Very High
JNJMED_56,Hamburg-Wandsbek,Burgstraße,18.21,2.11,16.11,56.8,Good,Very High
JNJMED_57,Hamburg-Wandsbek,Rahlstedt,16.92,3.11,14.99,56.9,Good,Very High
JNJMED_58,Hamburg-Wandsbek,Wandsbek Markt,14.95,1.12,14.56,52.2,Good,Very High
JNJMED_59,Hamburg-Wandsbek,Hasselbrook,13.51,1.01,14.5,51.9,Good,Very High
JNJMED_60,Hamburg-Wandsbek,Wandsbek-Gartenstadt,12.9,1.63,12.61,49.900000000000006,Good,Very High
JNJMED_61,Hamburg-Wandsbek,Barmbek,11.95,0.45,12.18,46.9,Good,Very High
JNJMED_62,Hamburg-Wandsbek,Winterhude / Hudtwalckerstraße,10.33,1.54,10.9,46.8,Good,Very High
JNJMED_63,Hamburg-Wandsbek,Rahlstedt,15.68,2.11,14.99,54.9,Good,Very High
JNJMED_64,Hamburg-Wandsbek,Burgstraße,15.91,0.45,16.11,53.6,Good,Very High
JNJMED_65,Hamburg-Wandsbek,Wandsbek Markt,13.68,0.89,14.56,59.8,Good,Very High
JNJMED_66,Hamburg-Wandsbek,Burgstraße,17.51,1.45,16.11,55.5,Good,Very High
JNJMED_67,Hamburg-Wandsbek,Burgstraße,16.83,1.63,16.11,55.900000000000006,Good,Very High
JNJMED_68,Hamburg-Wandsbek,Billstedt,17.59,1.95,18.57,60.7,Time consuming,High
JNJMED_69,Hamburg-Wandsbek,Burgstraße,15.64,0.52,16.11,55.0,Good,Very High
JNJMED_70,Hamburg-Wandsbek,Barmbek,11.68,0.54,12.18,48.7,Good,Very High
JNJMED_71,Hamburg-Wandsbek,Wandsbek-Gartenstadt,15.2,2.95,12.61,52.5,Good,Very High
JNJMED_72,Hamburg-Wandsbek,Burgstraße,17.72,1.69,16.11,56.0,Good,Very High
JNJMED_73,Hamburg-Barmbek,Wandsbek-Gartenstadt,12.41,0.47,12.61,48.0,Good,Very High
JNJMED_74,Hamburg-Barmbek,Dammtor,14.39,1.04,14.47,51.9,Good,Very High
JNJMED_75,Hamburg-Barmbek,Barmbek,11.46,1.24,12.18,48.4,Good,Very High
JNJMED_76,Hamburg-Barmbek,Barmbek,12.05,0.88,12.18,55.5,Good,Very High
JNJMED_77,Hamburg-Barmbek,Hasselbrook,13.88,0.78,14.5,57.5,Good,Very High
JNJMED_78,Hamburg-Barmbek,Winterhude / Hudtwalckerstraße,11.25,0.6,10.9,47.7,Good,Very High
JNJMED_79,Hamburg-Barmbek,Klein Borstel,9.03,1.56,8.65,42.9,Excellent,Very High
JNJMED_80,Hamburg-Barmbek,Wandsbek Markt,15.24,0.85,14.56,59.0,Good,Very High
JNJMED_81,Hamburg-Barmbek,Wandsbek Markt,14.9,0.35,14.56,49.0,Good,Very High
JNJMED_82,Hamburg-Barmbek,Ohlsdorf,9.34,1.36,8.49,42.3,Excellent,Very High
JNJMED_83,Hamburg-Barmbek,Wandsbek-Gartenstadt,10.68,1.95,12.61,50.5,Good,Very High
JNJMED_84,Hamburg-Barmbek,Farmsen,12.6,1.15,13.06,49.7,Good,Very High
JNJMED_85,Hamburg-Barmbek,Winterhude / Hudtwalckerstraße,12.4,1.5,10.9,46.7,Good,Very High
JNJMED_86,Hamburg-Barmbek,Hasselbrook,13.78,1.85,14.5,53.6,Good,Very High
JNJMED_87,Hamburg-Barmbek,Barmbek,12.71,0.8,12.18,53.9,Good,Very High
JNJMED_88,Hamburg-Barmbek,Wandsbek-Gartenstadt,12.42,0.38,12.61,46.2,Good,Very High
JNJMED_89,Hamburg-Barmbek,Wandsbek-Gartenstadt,13.55,1.04,12.61,48.7,Good,Very High
JNJMED_90,Hamburg-Barmbek,Farmsen,15.51,2.82,13.06,53.0,Good,Very High
JNJMED_91,Hamburg-Harburg,Harburg,24.35,3.09,26.14,76.0,Time consuming,High
JNJMED_92,Hamburg-Harburg,Harburg,28.07,1.94,26.14,73.69999999999999,Time consuming,High
JNJMED_93,Hamburg-Harburg,Harburg,26.21,0.65,26.14,74.8,Time consuming,High
JNJMED_94,Hamburg-Harburg,Harburg,24.62,1.77,26.14,73.3,Time consuming,High
JNJMED_95,Hamburg-Harburg,Harburg,27.73,4.05,26.14,77.9,Time consuming,High
JNJMED_96,Hamburg-Harburg,Harburg,26.72,1.08,26.14,72.0,Time consuming,High
JNJMED_97,Hamburg-Harburg,Harburg,25.32,3.38,26.14,76.6,Time consuming,High
JNJMED_98,Hamburg-Harburg,Harburg,25.3,0.84,26.14,78.6,Time consuming,High
JNJMED_99,Hamburg-Harburg,Harburg,27.64,1.58,26.14,73.0,Time consuming,High
JNJMED_100,Hamburg-Harburg,Harburg,25.65,3.1,26.14,76.0,Time consuming,High
JNJMED_101,Hamburg-Harburg,Harburg,24.9,1.3,26.14,72.4,Time consuming,High
JNJMED_102,Hamburg-Harburg,Harburg,23.36,3.16,26.14,76.1,Time consuming,High
JNJMED_103,Norderstedt,Garstedt,1.94,2.33,0.94,31.3,Bike friendly,Low
JNJMED_104,Norderstedt,Norderstedt Harksheide,3.41,0.7,3.28,36.6,Bike friendly,Low
JNJMED_105,Norderstedt,Ammersbek,8.47,5.4,12.52,57.3,Good,Very High
JNJMED_106,Norderstedt,Norderstedt Harksheide,4.12,0.87,3.28,40.0,Excellent,Very High
JNJMED_107,Norderstedt,Norderstedt Harksheide,4.42,1.43,3.28,33.5,Excellent,Very High
JNJMED_108,Norderstedt,Norderstedt Richtweg,2.18,0.84,1.34,36.1,Bike friendly,Low
JNJMED_109,Norderstedt,Norderstedt Garstedt,0.39,1.32,0.94,7.8,Walk to work,Very Low
JNJMED_110,Norderstedt,Norderstedt Richtweg,1.02,0.61,1.34,20.4,Walk to work,Very Low
JNJMED_111,Norderstedt,Quickborn,7.97,3.08,6.89,43.0,Excellent,Very High
JNJMED_112,Norderstedt,Quickborn,4.63,2.41,6.89,41.6,Excellent,Very High
JNJMED_113,Norderstedt,Norderstedt Richtweg,2.57,1.39,1.34,30.1,Bike friendly,Low
JNJMED_114,Norderstedt,Norderstedt Mitte,2.89,2.73,1.93,33.8,Bike friendly,Low
JNJMED_115,Norderstedt,Norderstedt Richtweg,1.63,0.74,1.34,34.1,Bike friendly,Low
JNJMED_116,Norderstedt,Norderstedt Richtweg,0.77,0.61,1.34,15.4,Walk to work,Very Low
JNJMED_117,Norderstedt,Norderstedt Mitte,2.38,1.89,1.93,32.1,Bike friendly,Low
JNJMED_118,Norderstedt,Norderstedt Harksheide,6.96,4.06,3.28,38.7,Excellent,Very High
JNJMED_119,Norderstedt,Ochsenzoll,2.55,1.29,2.0,31.0,Bike friendly,Low
JNJMED_120,Norderstedt,Norderstedt Richtweg,1.99,0.98,1.34,38.900000000000006,Bike friendly,Low
JNJMED_121,Norderstedt,Norderstedt Garstedt,0.26,1.13,0.94,5.2,Walk to work,Very Low
JNJMED_122,Norderstedt,Norderstedt Harksheide,3.7,0.43,3.28,31.2,Bike friendly,Low
JNJMED_123,Norderstedt,Garstedt,0.78,1.1,0.94,15.6,Walk to work,Very Low
JNJMED_124,Norderstedt,Norderstedt Mitte,1.44,2.02,1.93,28.8,Bike friendly,Low
JNJMED_125,Norderstedt,Norderstedt Harksheide,6.04,3.3,3.28,37.2,Excellent,Very High
JNJMED_126,Norderstedt,Ochsenzoll,2.19,0.95,2.0,39.4,Bike friendly,Low
JNJMED_127,Norderstedt,Norderstedt Harksheide,7.12,4.03,3.28,38.7,Excellent,Very High
JNJMED_128,Norderstedt,Garstedt,1.54,1.56,0.94,29.7,Bike friendly,Low
JNJMED_129,Norderstedt,Norderstedt Harksheide,4.99,3.64,3.28,37.9,Excellent,Very High
JNJMED_130,Norderstedt,Norderstedt Harksheide,3.49,0.27,3.28,28.0,Bike friendly,Low
JNJMED_131,Norderstedt,Norderstedt Garstedt,0.11,0.83,0.94,2.2,Walk to work,Very Low
JNJMED_132,Norderstedt,Niendorf Markt,5.49,2.87,8.28,44.9,Excellent,Very High
JNJMED_133,Quickborn,Quickborn,8.84,2.68,6.89,42.2,Excellent,Very High
JNJMED_134,Quickborn,Quickborn,11.69,4.84,6.89,46.5,Good,Very High
JNJMED_135,Quickborn,Quickborn,6.31,0.83,6.89,45.400000000000006,Good,Very High
JNJMED_136,Quickborn,Quickborn,11.39,4.52,6.89,45.8,Good,Very High
JNJMED_137,Quickborn,Quickborn,9.05,2.75,6.89,42.3,Excellent,Very High
JNJMED_138,Quickborn,Quickborn,5.1,2.16,6.89,41.1,Excellent,Very High
JNJMED_139,Quickborn,Quickborn,8.32,1.49,6.89,39.8,Excellent,Very High
JNJMED_140,Quickborn,Quickborn,7.81,0.99,6.89,48.6,Good,Very High
JNJMED_141,Quickborn,Quickborn,6.4,1.2,6.89,39.2,Excellent,Very High
JNJMED_142,Quickborn,Quickborn,11.35,4.53,6.89,45.900000000000006,Good,Very High
JNJMED_143,Quickborn,Quickborn,13.21,6.35,6.89,49.5,Good,Very High
JNJMED_144,Quickborn,Quickborn,6.06,1.0,6.89,48.8,Good,Very High
JNJMED_145,Quickborn,Quickborn,8.47,1.61,6.89,40.0,Excellent,Very High
JNJMED_146,Quickborn,Quickborn,7.61,1.19,6.89,39.2,Excellent,Very High
JNJMED_147,Quickborn,Quickborn,5.0,1.9,6.89,40.6,Excellent,Very High
JNJMED_148,Quickborn,Quickborn,8.69,1.82,6.89,40.4,Excellent,Very High
JNJMED_149,Quickborn,Quickborn,8.23,2.2,6.89,41.2,Excellent,Very High
JNJMED_150,Quickborn,Quickborn,7.71,2.24,6.89,41.3,Excellent,Very High
JNJMED_151,Pinneberg,Pinneberg,14.07,1.56,12.76,50.0,Good,Very High
JNJMED_152,Pinneberg,Pinneberg,10.87,2.65,12.76,52.2,Good,Very High
JNJMED_153,Pinneberg,Pinneberg,12.2,0.69,12.76,52.7,Good,Very High
JNJMED_154,Pinneberg,Pinneberg,13.12,3.59,12.76,54.1,Good,Very High
JNJMED_155,Pinneberg,Pinneberg,12.53,1.83,12.76,50.6,Good,Very High
JNJMED_156,Pinneberg,Rellingen,10.51,1.37,9.46,43.9,Excellent,Very High
JNJMED_157,Pinneberg,Pinneberg,10.44,3.02,12.76,52.9,Good,Very High
JNJMED_158,Pinneberg,Pinneberg,11.9,3.51,12.76,53.9,Good,Very High
JNJMED_159,Pinneberg,Pinneberg,12.69,2.16,12.76,51.2,Good,Very High
JNJMED_160,Pinneberg,Pinneberg,12.49,1.33,12.76,49.6,Good,Very High
JNJMED_161,Pinneberg,Pinneberg,11.22,1.58,12.76,50.1,Good,Very High
JNJMED_162,Pinneberg,Rellingen,9.39,1.16,9.46,43.5,Excellent,Very High
JNJMED_163,Pinneberg,Pinneberg,15.42,2.77,12.76,52.4,Good,Very High
JNJMED_164,Pinneberg,Pinneberg,10.4,3.62,12.76,54.1,Good,Very High
JNJMED_165,Pinneberg,Pinneberg,10.88,2.44,12.76,51.8,Good,Very High
JNJMED_166,Pinneberg,Pinneberg,14.14,1.71,12.76,50.3,Good,Very High
JNJMED_167,Pinneberg,Pinneberg,13.67,1.4,12.76,49.7,Good,Very High
JNJMED_168,Pinneberg,Pinneberg,12.29,2.77,12.76,52.4,Good,Very High
JNJMED_169,Ahrensburg,Ahrensburg,16.89,1.99,17.25,58.6,Good,Very High
JNJMED_170,Ahrensburg,Ahrensburg,16.04,1.45,17.25,57.5,Good,Very High
JNJMED_171,Ahrensburg,Ahrensburg,17.99,1.92,17.25,58.400000000000006,Good,Very High
JNJMED_172,Ahrensburg,Ahrensburg,16.18,1.15,17.25,56.900000000000006,Good,Very High
JNJMED_173,Ahrensburg,Ahrensburg,17.82,1.17,17.25,56.900000000000006,Good,Very High
JNJMED_174,Ahrensburg,Volksdorf,15.19,2.33,12.86,51.7,Good,Very High
JNJMED_175,Ahrensburg,Ahrensburg,17.05,1.69,17.25,58.0,Good,Very High
JNJMED_176,Ahrensburg,Ahrensburg,20.09,2.97,17.25,60.5,Time consuming,High
JNJMED_177,Ahrensburg,Ahrensburg,16.82,1.91,17.25,58.400000000000006,Good,Very High
JNJMED_178,Ahrensburg,Ahrensburg,15.26,2.02,17.25,58.6,Good,Very High
JNJMED_179,Ahrensburg,Ahrensburg,16.66,0.6,17.25,58.6,Good,Very High
JNJMED_180,Ahrensburg,Ahrensburg,15.53,1.8,17.25,58.2,Good,Very High
JNJMED_181,Ahrensburg,Ahrensburg,20.18,3.21,17.25,61.0,Time consuming,High
JNJMED_182,Ahrensburg,Ahrensburg,18.05,0.82,17.25,63.0,Time consuming,High
JNJMED_183,Ahrensburg,Ahrensburg,16.34,1.71,17.25,58.0,Good,Very High
JNJMED_184,Ahrensburg,Ahrensburg,17.21,0.47,17.25,56.0,Good,Very High
JNJMED_185,Ahrensburg,Ahrensburg,15.68,1.57,17.25,57.7,Good,Very High
JNJMED_186,Ahrensburg,Ahrensburg,18.21,0.96,17.25,65.8,Time consuming,High
JNJMED_187,Wedel,Wedel,18.97,3.42,21.87,69.3,Time consuming,High
JNJMED_188,Wedel,Wedel,21.44,5.0,21.87,72.5,Time consuming,High
JNJMED_189,Wedel,Wedel,20.95,1.77,21.87,66.0,Time consuming,High
JNJMED_190,Wedel,Wedel,21.49,5.11,21.87,72.7,Time consuming,High
JNJMED_191,Wedel,Wedel,24.32,2.57,21.87,67.6,Time consuming,High
JNJMED_192,Wedel,Wedel,25.99,5.1,21.87,72.7,Time consuming,High
JNJMED_193,Wedel,Wedel,23.02,1.86,21.87,66.2,Time consuming,High
JNJMED_194,Wedel,Wedel,18.81,3.4,21.87,69.3,Time consuming,High
JNJMED_195,Wedel,Wedel,22.19,2.48,21.87,67.5,Time consuming,High
JNJMED_196,Wedel,Wedel,22.68,2.25,21.87,67.0,Time consuming,High
JNJMED_197,Wedel,Blankenese,21.35,4.08,18.25,64.5,Time consuming,High
JNJMED_198,Wedel,Wedel,21.77,2.79,21.87,68.1,Time consuming,High
JNJMED_199,Lüneburg,Lüneburg,61.39,4.32,57.07,131.4,Too far to commute regularly,Low
JNJMED_200,Lüneburg,Lüneburg,58.23,1.89,57.07,126.6,Too far to commute regularly,Low
JNJMED_201,Lüneburg,Lüneburg,59.27,3.94,57.07,130.7,Too far to commute regularly,Low
JNJMED_202,Lüneburg,Lüneburg,56.77,0.51,57.07,125.0,Too far to commute regularly,Low
JNJMED_203,Lüneburg,Lüneburg,58.23,1.16,57.07,125.1,Too far to commute regularly,Low
JNJMED_204,Lüneburg,Lüneburg,58.67,2.49,57.07,127.8,Too far to commute regularly,Low
JNJMED_205,Lüneburg,Lüneburg,57.03,0.53,57.07,125.4,Too far to commute regularly,Low
JNJMED_206,Lüneburg,Lüneburg,54.25,3.28,57.07,129.39999999999998,Too far to commute regularly,Low
JNJMED_207,Lüneburg,Lüneburg,60.97,3.9,57.07,130.6,Too far to commute regularly,Low
JNJMED_208,Lüneburg,Lüneburg,55.35,2.24,57.07,127.3,Too far to commute regularly,Low
JNJMED_209,Lüneburg,Lüneburg,53.89,3.52,57.07,129.8,Too far to commute regularly,Low
JNJMED_210,Lüneburg,Lüneburg,54.55,2.71,57.07,128.2,Too far to commute regularly,Low
JNJMED_211,Elmshorn,Elmshorn,21.48,5.29,22.74,74.6,Time consuming,High
JNJMED_212,Elmshorn,Elmshorn,20.8,1.99,22.74,68.0,Time consuming,High
JNJMED_213,Elmshorn,Elmshorn,20.73,2.7,22.74,69.4,Time consuming,High
JNJMED_214,Elmshorn,Elmshorn,20.95,2.83,22.74,69.7,Time consuming,High
JNJMED_215,Elmshorn,Elmshorn,26.84,4.15,22.74,72.3,Time consuming,High
JNJMED_216,Elmshorn,Elmshorn,26.17,5.23,22.74,74.5,Time consuming,High
JNJMED_217,Elmshorn,Elmshorn,21.27,1.6,22.74,67.2,Time consuming,High
JNJMED_218,Elmshorn,Elmshorn,23.84,2.91,22.74,69.8,Time consuming,High
JNJMED_219,Elmshorn,Elmshorn,26.59,4.33,22.74,72.7,Time consuming,High
JNJMED_220,Elmshorn,Uetersen,22.12,3.45,20.99,67.9,Time consuming,High
JNJMED_221,Elmshorn,Elmshorn,23.12,0.5,22.74,66.0,Time consuming,High
JNJMED_222,Elmshorn,Uetersen,22.1,2.7,20.99,66.4,Time consuming,High
JNJMED_223,Schenefeld,Bahrenfeld,14.91,2.31,14.51,54.5,Good,Very High
JNJMED_224,Schenefeld,Schenefeld,14.01,2.04,13.29,51.9,Good,Very High
JNJMED_225,Schenefeld,Schenefeld,15.54,2.39,13.29,52.6,Good,Very High
JNJMED_226,Schenefeld,Schenefeld,12.26,1.9,13.29,51.6,Good,Very High
JNJMED_227,Schenefeld,Schenefeld,14.47,2.41,13.29,52.6,Good,Very High
JNJMED_228,Schenefeld,Schenefeld,15.21,1.97,13.29,51.7,Good,Very High
JNJMED_229,Schenefeld,Schenefeld,14.87,2.07,13.29,51.9,Good,Very High
JNJMED_230,Schenefeld,Schenefeld,15.8,2.68,13.29,53.2,Good,Very High
JNJMED_231,Schenefeld,Halstenbek,10.3,0.67,10.96,49.2,Good,Very High
JNJMED_232,Schenefeld,Schenefeld,14.26,1.61,13.29,51.0,Good,Very High
JNJMED_233,Schenefeld,Schenefeld,13.76,0.51,13.29,50.0,Good,Very High
JNJMED_234,Schenefeld,Schenefeld,11.27,2.03,13.29,51.9,Good,Very High
JNJMED_235,Schenefeld,Schenefeld,14.93,1.64,13.29,51.1,Good,Very High
JNJMED_236,Schenefeld,Blankenese,17.0,4.54,18.25,65.4,Time consuming,High
JNJMED_237,Schenefeld,Bahrenfeld,14.71,0.86,14.51,59.1,Good,Very High
JNJMED_238,Schenefeld,Halstenbek,11.17,0.39,10.96,43.6,Excellent,Very High
JNJMED_239,Schenefeld,Schenefeld,11.91,1.42,13.29,50.6,Good,Very High
JNJMED_240,Schenefeld,Rellingen,7.18,2.28,9.46,45.8,Good,Very High
JNJMED_241,Rellingen,Pinneberg,11.58,1.77,12.76,50.4,Good,Very High
JNJMED_242,Rellingen,Schenefeld,11.55,2.03,13.29,51.9,Good,Very High
JNJMED_243,Rellingen,Pinneberg,13.03,2.29,12.76,51.5,Good,Very High
JNJMED_244,Rellingen,Halstenbek,12.32,1.63,10.96,47.1,Good,Very High
JNJMED_245,Rellingen,Rellingen,6.92,3.83,9.46,48.9,Good,Very High
JNJMED_246,Rellingen,Rellingen,7.29,2.76,9.46,46.7,Good,Very High
JNJMED_247,Rellingen,Pinneberg,11.22,1.8,12.76,50.5,Good,Very High
JNJMED_248,Rellingen,Rellingen,7.65,3.25,9.46,47.7,Good,Very High
JNJMED_249,Rellingen,Halstenbek,11.31,0.81,10.96,52.0,Good,Very High
JNJMED_250,Rellingen,Halstenbek,13.09,2.27,10.96,48.3,Good,Very High
JNJMED_251,Rellingen,Rellingen,5.44,4.02,9.46,49.2,Good,Very High
JNJMED_252,Rellingen,Halstenbek,10.72,2.29,10.96,48.4,Good,Very High
JNJMED_253,Rellingen,Halstenbek,11.31,0.46,10.96,45.0,Excellent,Very High
JNJMED_254,Rellingen,Halstenbek,11.88,1.21,10.96,46.2,Good,Very High
JNJMED_255,Rellingen,Rellingen,11.19,1.85,9.46,44.9,Excellent,Very High
JNJMED_256,Rellingen,Rellingen,9.57,0.45,9.46,42.2,Excellent,Very High
JNJMED_257,Rellingen,Halstenbek,11.59,1.62,10.96,47.0,Good,Very High
JNJMED_258,Rellingen,Rellingen,9.2,2.02,9.46,45.2,Good,Very High
JNJMED_259,Halstenbek,Halstenbek,11.83,1.6,10.96,47.0,Good,Very High
JNJMED_260,Halstenbek,Halstenbek,9.46,2.01,10.96,47.8,Good,Very High
JNJMED_261,Halstenbek,Schenefeld,12.65,1.08,13.29,50.0,Good,Very High
JNJMED_262,Halstenbek,Schenefeld,10.89,2.47,13.29,52.7,Good,Very High
JNJMED_263,Halstenbek,Halstenbek,14.67,3.7,10.96,51.2,Good,Very High
JNJMED_264,Halstenbek,Schenefeld,13.19,0.11,13.29,42.0,Excellent,Very High
JNJMED_265,Halstenbek,Halstenbek,11.95,1.29,10.96,46.4,Good,Very High
JNJMED_266,Halstenbek,Pinneberg,12.93,1.0,12.76,58.9,Good,Very High
JNJMED_267,Halstenbek,Halstenbek,12.84,1.96,10.96,47.7,Good,Very High
JNJMED_268,Halstenbek,Halstenbek,11.62,1.93,10.96,47.7,Good,Very High
JNJMED_269,Halstenbek,Schenefeld,12.56,1.92,13.29,51.6,Good,Very High
JNJMED_270,Halstenbek,Rellingen,10.63,1.34,9.46,43.9,Excellent,Very High
JNJMED_271,Halstenbek,Pinneberg,11.79,1.35,12.76,49.6,Good,Very High
JNJMED_272,Halstenbek,Rellingen,7.8,2.84,9.46,46.9,Good,Very High
JNJMED_273,Halstenbek,Schenefeld,15.7,2.42,13.29,52.6,Good,Very High
JNJMED_274,Halstenbek,Halstenbek,10.39,0.91,10.96,54.0,Good,Very High
JNJMED_275,Halstenbek,Halstenbek,11.31,0.82,10.96,52.2,Good,Very High
JNJMED_276,Halstenbek,Halstenbek,10.9,0.28,10.96,41.4,Excellent,Very High
JNJMED_277,Norderstedt-Garstedt,Norderstedt Harksheide,4.34,1.12,3.28,32.8,Excellent,Very High
JNJMED_278,Norderstedt-Garstedt,Norderstedt Mitte,2.12,0.28,1.93,25.9,Bike friendly,Low
JNJMED_279,Norderstedt-Garstedt,Norderstedt Garstedt,0.65,0.78,0.94,13.0,Walk to work,Very Low
JNJMED_280,Norderstedt-Garstedt,Norderstedt Mitte,2.23,0.4,1.93,28.3,Bike friendly,Low
JNJMED_281,Norderstedt-Garstedt,Norderstedt Harksheide,5.91,3.89,3.28,38.4,Excellent,Very High
JNJMED_282,Norderstedt-Garstedt,Norderstedt Harksheide,3.3,1.06,3.28,32.7,Bike friendly,Low
JNJMED_283,Norderstedt-Garstedt,Norderstedt Harksheide,3.99,1.63,3.28,33.9,Bike friendly,Low
